question	gate	query_index	accession	n_samples	taxon	gdstype	pdat	title
A1	matched replicated regulation-to-fate linkage remains missing	1	GSE293600	9	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		The Polycomb Protein EED Constrains the SCLC Neuroendocrine Phenotype and Drives Lung Cancer Histological Transformation [ATAC-seq]
A1	matched replicated regulation-to-fate linkage remains missing	1	GSE268368	10	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Alterations in Monocyte Reprogramming and Ontogeny Enhance Lipopolysaccharide-Induced Lung Injury in Sepsis Survivor Mice [ATAC-Seq]
A1	matched replicated regulation-to-fate linkage remains missing	1	GSE310084	2	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Runx1 Promotes Myofibroblast Cell Fate during Development and Fibrosis
A1	matched replicated regulation-to-fate linkage remains missing	1	GSE286986	22	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		Single-cell Multiomics Analysis Reveals CTCF as a Key Regulator of Lung Morphogenesis and Progenitor Maintenance
A1	matched replicated regulation-to-fate linkage remains missing	1	GSE286984	4	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Single-cell Multiomics Analysis Reveals CTCF as a Key Regulator of Lung Morphogenesis and Progenitor Maintenance
A1	matched replicated regulation-to-fate linkage remains missing	1	GSE261082	4	Mus musculus	Expression profiling by high throughput sequencing		Mouse lung injury-repair induces Ntrk2-tk in CAP1 endothelial cells (scRNA-Seq)
A3	age-matched controls and comparable sampling needed	1	GSE303646	56	Mus musculus	Expression profiling by high throughput sequencing		Single-cell RNA-seq of Lung Regeneration in Young and Aged Mice After Injury
A3	age-matched controls and comparable sampling needed	1	GSE271578	12	Mus musculus	Expression profiling by high throughput sequencing		Kinetical scRNAseq Analysis Reveals Immune Mechanisms Underlying Hindered Lung Recovery following Influenza Virus Infection in Aged Hosts
A3	age-matched controls and comparable sampling needed	1	GSE288730	21	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Organism-wide cellular dynamics and epigenomic remodeling in mammalian aging
A3	age-matched controls and comparable sampling needed	1	GSE274828	4	Mus musculus	Expression profiling by high throughput sequencing		Impact of aging on pulmonary cellular responses during mechanical ventilation
A3	age-matched controls and comparable sampling needed	1	GSE277799	1	Mus musculus	Expression profiling by high throughput sequencing		An ageing bone marrow exacerbates lung fibrosis via a dysregulated regulatory T cell driven axis, fuelling profibrotic macrophage persistence
A3	age-matched controls and comparable sampling needed	1	GSE225166	232	Mus musculus	Methylation profiling by high throughput sequencing		Predicting age in single cells and low coverage DNA methylation data [RRBS]
A3	age-matched controls and comparable sampling needed	2	GSE311141	6	Mus musculus	Expression profiling by high throughput sequencing		Molecular Mechanism of Oncostatin M-Mediated Bronchopulmonary Dysplasia Induced by Intrauterine Inflammation [scRNA-seq]
A3	age-matched controls and comparable sampling needed	2	GSE310065	6	Mus musculus	Expression profiling by high throughput sequencing		Molecular Mechanism of Oncostatin M-Mediated Bronchopulmonary Dysplasia Induced by Intrauterine Inflammation
A3	age-matched controls and comparable sampling needed	2	GSE303646	56	Mus musculus	Expression profiling by high throughput sequencing		Single-cell RNA-seq of Lung Regeneration in Young and Aged Mice After Injury
A3	age-matched controls and comparable sampling needed	2	GSE295628	2	Mus musculus	Expression profiling by high throughput sequencing		Miconazole attenuates  LPS-induced lung inflammation by modulating alveolar macrophage polarization  through the regulation of lipid metabolism
A3	age-matched controls and comparable sampling needed	2	GSE271578	12	Mus musculus	Expression profiling by high throughput sequencing		Kinetical scRNAseq Analysis Reveals Immune Mechanisms Underlying Hindered Lung Recovery following Influenza Virus Infection in Aged Hosts
A3	age-matched controls and comparable sampling needed	2	GSE312462	2	Mus musculus; Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1))	Expression profiling by high throughput sequencing		Influenza hijacks circulating myeloid cells to inflict Type-I Interferon-fueled damage in the heart
A4	measured activity/history and lineage-linked response needed	1	GSE190934	2	Mus musculus	Expression profiling by high throughput sequencing		Recombinant FGF10-induced de novo alveologenesis in neonatal mice after hyperoxia exposure is associated with enhanced AT2’s resident mesenchymal cell niche activity
A4	measured activity/history and lineage-linked response needed	1	GSE162859	8	Mus musculus	Expression profiling by array		Alveolar organoid model
A4	measured activity/history and lineage-linked response needed	1	GSE147358	199	Mus musculus	Expression profiling by high throughput sequencing		Fragmentation of Small-cell Lung Cancer Regulatory States in Heterotypic Microenvironments
